,precision,recall,f1-score,support
High,0.9786476868327402,0.9717314487632509,0.975177304964539,1132.0
Low,0.9512195121951219,0.9873417721518988,0.968944099378882,158.0
Medium,0.9951768488745981,0.9763406940063092,0.9856687898089171,1268.0
Very high,0.8870967741935484,0.990990990990991,0.9361702127659575,222.0
Zero tailpipe,1.0,1.0,1.0,281.0
accuracy,0.9784384188173799,0.9784384188173799,0.9784384188173799,
macro avg,0.9624281644192016,0.9852809811824901,0.9731920813836592,3061.0
weighted avg,0.9793994095607479,0.9784384188173799,0.9786513197103793,3061.0
